n_gelesen,p_ad_gelesen,n_nicht,p_ad_nicht,rd,rd_lo,rd_hi,variante,merkmal,herkunft,fenster_s,leseart
616,77.59740259740259,524,61.06870229007634,16.52870030732626,11.211630382133759,21.845770232518763,weit@1h,sig_endzeile,mitgebracht,3600,weit
591,50.76142131979695,549,43.533697632058285,7.2277236877386635,1.4443255176988217,13.011121857778503,weit@1h,please_relay,mitgebracht,3600,weit
328,60.36585365853659,812,57.389162561576356,2.9766910969602267,-3.3154686810876104,9.268850875008065,eng@1h,runde,erfunden,3600,eng
345,49.56521739130435,795,49.308176100628934,0.25704129067541936,-6.060693001441429,6.574775582792268,eng@1h,cohort,erfunden,3600,eng
350,59.14285714285714,790,54.810126582278485,4.332730560578657,-1.8774986000945035,10.542959721251819,eng@1h,meldeformat,erfunden,3600,eng
360,76.11111111111111,780,67.17948717948717,8.931623931623934,3.4305728047327384,14.432675058515127,eng@1h,sig_endzeile,mitgebracht,3600,eng
346,48.26589595375722,794,46.85138539042821,1.4145105633290134,-4.891961504667116,7.7209826313251435,eng@1h,please_relay,mitgebracht,3600,eng
340,60.588235294117645,800,57.25,3.338235294117642,-2.8853436105343486,9.561814198769634,weit_fremd@1h,runde,erfunden,3600,weit_fremd
357,48.739495798319325,783,49.68071519795657,-0.9412193996372498,-7.1982161301441545,5.315777330869655,weit_fremd@1h,cohort,erfunden,3600,weit_fremd
364,58.24175824175825,776,55.154639175257735,3.08711906650051,-3.0701920897477515,9.244430222748772,weit_fremd@1h,meldeformat,erfunden,3600,weit_fremd
377,75.59681697612733,763,67.2346002621232,8.362216714004123,2.8950383854933226,13.829395042514921,weit_fremd@1h,sig_endzeile,mitgebracht,3600,weit_fremd
365,49.04109589041096,775,46.45161290322581,2.589482987185149,-3.6260215431382234,8.80498751750852,weit_fremd@1h,please_relay,mitgebracht,3600,weit_fremd
309,58.57605177993528,831,58.12274368231047,0.45330809762480495,-5.982425797052657,6.889041992302267,eng_fremd@1h,runde,erfunden,3600,eng_fremd
324,47.53086419753087,816,50.122549019607845,-2.5916848220769784,-9.021243591283811,3.837873947129855,eng_fremd@1h,cohort,erfunden,3600,eng_fremd
330,57.57575757575758,810,55.55555555555556,2.020202020202022,-4.315831964727816,8.35623600513186,eng_fremd@1h,meldeformat,erfunden,3600,eng_fremd
340,75.29411764705883,800,67.75,7.544117647058823,1.9307205101891025,13.157514783928544,eng_fremd@1h,sig_endzeile,mitgebracht,3600,eng_fremd
327,47.706422018348626,813,47.10947109471095,0.5969509236376791,-5.8125567311367154,7.006458578412074,eng_fremd@1h,please_relay,mitgebracht,3600,eng_fremd
560,70.53571428571429,580,46.37931034482759,24.156403940886705,18.61304552298188,29.69976235879153,weit@24h,runde,erfunden,86400,weit
598,53.84615384615385,542,44.464944649446494,9.381209196707353,3.596092204642792,15.166326188771912,weit@24h,cohort,erfunden,86400,weit
605,62.14876033057851,535,49.34579439252336,12.80296593805515,7.068374944975893,18.537556931134407,weit@24h,meldeformat,erfunden,86400,weit
626,77.47603833865814,514,60.89494163424124,16.581096704416908,11.241930309964445,21.920263098869373,weit@24h,sig_endzeile,mitgebracht,86400,weit
604,50.82781456953642,536,43.28358208955223,7.544232479984187,1.7571000771098133,13.33136488285856,weit@24h,please_relay,mitgebracht,86400,weit
349,62.17765042979943,791,56.51074589127687,5.666904538522555,-0.4830543213169024,11.816863398362013,eng@24h,runde,erfunden,86400,eng
367,50.13623978201635,773,49.029754204398444,1.1064855776178995,-5.105469467181071,7.318440622416869,eng@24h,cohort,erfunden,86400,eng
372,59.946236559139784,768,54.296875,5.649361559139788,-0.4505109516293092,11.749234069908884,eng@24h,meldeformat,erfunden,86400,eng
379,75.98944591029023,761,67.01708278580814,8.972363124482087,3.5269706745694416,14.41775557439473,eng@24h,sig_endzeile,mitgebracht,86400,eng
370,48.91891891891892,770,46.493506493506494,2.4254124254124267,-3.7678101635988117,8.618635014423665,eng@24h,please_relay,mitgebracht,86400,eng
360,62.22222222222222,780,56.41025641025641,5.8119658119658135,-0.2867339166030901,11.910665540534717,weit_fremd@24h,runde,erfunden,86400,weit_fremd
379,49.07651715039577,761,49.54007884362681,-0.46356169323102936,-6.6239913696411605,5.696867983179102,weit_fremd@24h,cohort,erfunden,86400,weit_fremd
385,58.96103896103896,755,54.70198675496689,4.259052206072067,-1.8033104119718917,10.321414824116026,weit_fremd@24h,meldeformat,erfunden,86400,weit_fremd
395,75.69620253164557,745,66.97986577181209,8.716336759833487,3.3036893121861812,14.128984207480794,weit_fremd@24h,sig_endzeile,mitgebracht,86400,weit_fremd
386,49.48186528497409,754,46.15384615384615,3.328019131127935,-2.798985722268082,9.455023984523953,weit_fremd@24h,please_relay,mitgebracht,86400,weit_fremd
330,60.60606060606061,810,57.28395061728395,3.322109988776656,-2.9547274667876584,9.59894744434097,eng_fremd@24h,runde,erfunden,86400,eng_fremd
346,48.26589595375722,794,49.87405541561713,-1.6081594618599038,-7.918427196632501,4.702108272912693,eng_fremd@24h,cohort,erfunden,86400,eng_fremd
352,58.23863636363637,788,55.203045685279186,3.0355906783571807,-3.177232012942809,9.248413369657172,eng_fremd@24h,meldeformat,erfunden,86400,eng_fremd
359,75.20891364902506,781,67.6056338028169,7.603279846208166,2.060334110874578,13.146225581541755,eng_fremd@24h,sig_endzeile,mitgebracht,86400,eng_fremd
351,48.148148148148145,789,46.89480354879594,1.2533445993522019,-5.027556012447855,7.534245211152259,eng_fremd@24h,please_relay,mitgebracht,86400,eng_fremd
560,70.53571428571429,580,46.37931034482759,24.156403940886705,18.61304552298188,29.69976235879153,weit@unbegrenzt,runde,erfunden,1000000000000,weit
598,53.84615384615385,542,44.464944649446494,9.381209196707353,3.596092204642792,15.166326188771912,weit@unbegrenzt,cohort,erfunden,1000000000000,weit
605,62.14876033057851,535,49.34579439252336,12.80296593805515,7.068374944975893,18.537556931134407,weit@unbegrenzt,meldeformat,erfunden,1000000000000,weit
626,77.47603833865814,514,60.89494163424124,16.581096704416908,11.241930309964445,21.920263098869373,weit@unbegrenzt,sig_endzeile,mitgebracht,1000000000000,weit
604,50.82781456953642,536,43.28358208955223,7.544232479984187,1.7571000771098133,13.33136488285856,weit@unbegrenzt,please_relay,mitgebracht,1000000000000,weit
349,62.17765042979943,791,56.51074589127687,5.666904538522555,-0.4830543213169024,11.816863398362013,eng@unbegrenzt,runde,erfunden,1000000000000,eng
367,50.13623978201635,773,49.029754204398444,1.1064855776178995,-5.105469467181071,7.318440622416869,eng@unbegrenzt,cohort,erfunden,1000000000000,eng
372,59.946236559139784,768,54.296875,5.649361559139788,-0.4505109516293092,11.749234069908884,eng@unbegrenzt,meldeformat,erfunden,1000000000000,eng
379,75.98944591029023,761,67.01708278580814,8.972363124482087,3.5269706745694416,14.41775557439473,eng@unbegrenzt,sig_endzeile,mitgebracht,1000000000000,eng
370,48.91891891891892,770,46.493506493506494,2.4254124254124267,-3.7678101635988117,8.618635014423665,eng@unbegrenzt,please_relay,mitgebracht,1000000000000,eng
360,62.22222222222222,780,56.41025641025641,5.8119658119658135,-0.2867339166030901,11.910665540534717,weit_fremd@unbegrenzt,runde,erfunden,1000000000000,weit_fremd
379,49.07651715039577,761,49.54007884362681,-0.46356169323102936,-6.6239913696411605,5.696867983179102,weit_fremd@unbegrenzt,cohort,erfunden,1000000000000,weit_fremd
385,58.96103896103896,755,54.70198675496689,4.259052206072067,-1.8033104119718917,10.321414824116026,weit_fremd@unbegrenzt,meldeformat,erfunden,1000000000000,weit_fremd
395,75.69620253164557,745,66.97986577181209,8.716336759833487,3.3036893121861812,14.128984207480794,weit_fremd@unbegrenzt,sig_endzeile,mitgebracht,1000000000000,weit_fremd
386,49.48186528497409,754,46.15384615384615,3.328019131127935,-2.798985722268082,9.455023984523953,weit_fremd@unbegrenzt,please_relay,mitgebracht,1000000000000,weit_fremd
330,60.60606060606061,810,57.28395061728395,3.322109988776656,-2.9547274667876584,9.59894744434097,eng_fremd@unbegrenzt,runde,erfunden,1000000000000,eng_fremd
346,48.26589595375722,794,49.87405541561713,-1.6081594618599038,-7.918427196632501,4.702108272912693,eng_fremd@unbegrenzt,cohort,erfunden,1000000000000,eng_fremd
352,58.23863636363637,788,55.203045685279186,3.0355906783571807,-3.177232012942809,9.248413369657172,eng_fremd@unbegrenzt,meldeformat,erfunden,1000000000000,eng_fremd
359,75.20891364902506,781,67.6056338028169,7.603279846208166,2.060334110874578,13.146225581541755,eng_fremd@unbegrenzt,sig_endzeile,mitgebracht,1000000000000,eng_fremd
351,48.148148148148145,789,46.89480354879594,1.2533445993522019,-5.027556012447855,7.534245211152259,eng_fremd@unbegrenzt,please_relay,mitgebracht,1000000000000,eng_fremd
