datensatz,mass,fenster_min,methode,n,r,p,ci_lo,ci_hi
primaer_AB|partiell_ldw,load_bytes,60,spearman,71,0.12300469483568074,0.3068064481840954,-0.12326070605328276,0.34345115727309844
primaer_AB,load_labels,60,spearman,71,0.12275709786591149,0.30778859695008776,-0.11637790244225021,0.3437385604884262
primaer_AB,load_labels,60,pearson,71,0.1786462120190506,0.1360664563994216,-0.032944310295137946,0.3621089297098785
primaer_AB|partiell_ldw,load_labels,60,spearman,71,0.1282696177062374,0.28640300707366395,-0.1124874819618697,0.35286925743953595
primaer_AB,load_ip,60,spearman,71,0.17048574042506287,0.15518020779760466,-0.08925744804096462,0.3981047834872532
primaer_AB,load_ip,60,pearson,71,0.22442468873015267,0.05989738473491356,-0.016607196633386175,0.4180588414777194
primaer_AB|partiell_ldw,load_ip,60,spearman,71,0.21737089201877932,0.06861770616358728,-0.026009954986013984,0.4444056143598887
primaer_AB,load_events,60,spearman,71,0.18127636292350485,0.130301409928935,-0.08490295906269779,0.4106593069976509
primaer_AB,load_events,60,pearson,71,0.1718182066324912,0.15193006154201788,-0.06144309102237715,0.37131647328028966
primaer_AB|partiell_ldw,load_events,60,spearman,71,0.20124077800134135,0.09240401375562354,-0.047202737539857306,0.42361318126890585
mit_Ereignissen_ABC,load_revs,5,spearman,281,0.27084338966769567,4.0988189164395746e-06,0.15082666214428556,0.38170781890466987
mit_Ereignissen_ABC,load_revs,5,pearson,281,0.2293974052991514,0.00010440141227918543,0.11464814889012552,0.33892208996825873
mit_Ereignissen_ABC|partiell_ldw,load_revs,5,spearman,281,0.10234400890545271,0.08681373986823578,-0.018454372073193507,0.21987685848807123
mit_Ereignissen_ABC,load_bytes,5,spearman,281,0.2334151802615496,7.814822748614055e-05,0.11828880971968482,0.3424859691084866
mit_Ereignissen_ABC,load_bytes,5,pearson,281,0.19275064261101174,0.0011655054731981769,0.07060828202609302,0.30735778955709747
mit_Ereignissen_ABC|partiell_ldw,load_bytes,5,spearman,281,0.09598968079697995,0.10835800531061332,-0.01901172997219154,0.2066029651275706
mit_Ereignissen_ABC,load_labels,5,spearman,281,0.2774418820027846,2.322901801794916e-06,0.15729821302272587,0.38588668226500134
mit_Ereignissen_ABC,load_labels,5,pearson,281,0.23909890077050597,5.1427181249207335e-05,0.12468648399494975,0.3463110503251334
mit_Ereignissen_ABC|partiell_ldw,load_labels,5,spearman,281,0.11669083990779344,0.050694577575753096,-0.00418603898460396,0.23434219094786155
mit_Ereignissen_ABC,load_ip,5,spearman,281,0.30100688355561184,2.7027983216582e-07,0.18041572482310816,0.40974935756752834
mit_Ereignissen_ABC,load_ip,5,pearson,281,0.263355169625482,7.670127802211664e-06,0.14690524367175764,0.3723353824888589
mit_Ereignissen_ABC|partiell_ldw,load_ip,5,spearman,281,0.11307100578035098,0.05835231630246705,-0.007373539735769859,0.2300835363405451
mit_Ereignissen_ABC,load_events,5,spearman,281,0.27920473303932836,1.9908998555058268e-06,0.15661501785914939,0.3892027669541597
mit_Ereignissen_ABC,load_events,5,pearson,281,0.2352244768161583,6.847826154286297e-05,0.11922952334930176,0.3452967832513355
mit_Ereignissen_ABC|partiell_ldw,load_events,5,spearman,281,0.0981027642545559,0.1007699087942608,-0.020756160453087154,0.21743018579776785
mit_Ereignissen_ABC,load_revs,15,spearman,281,0.27960592279125973,1.921945488553013e-06,0.15915371012334642,0.38815555055923157
mit_Ereignissen_ABC,load_revs,15,pearson,281,0.23932563935323672,5.056508141380638e-05,0.12247406525464971,0.34963191940338556
