praediktor,praediktor_name,teilmenge,variante,binaer,modell,effekt,ci_lo,ci_hi,p,se,n,n_fam,n_fam_true,n_true,n_boot_valid,grund,exakt,n_perm,mean_true,mean_false,q_bh
zukunft_erhalten_n_b,Future answer received,alle,eine_je_familie_datum(identisch),True,OLS_std_FE_HC1,-0.15786263094526384,-0.7358530262512742,0.4201277643607465,0.592434277352393,0.29489847765832683,510,21.0,4.0,,,,,,,,0.8859893810335918
zukunft_erhalten_n_b,Future answer received,alle,eine_je_familie_datum(identisch),True,OLS_std_FE_cluster,-0.15786263094526384,-0.7596000243429227,0.443874762452395,0.6071218064335715,0.30701451564625,510,21.0,4.0,,,,,,,,0.8347924838461608
zukunft_erhalten_n_b,Future answer received,alle,eine_je_familie_datum(identisch),True,rankbiserial_boot,-0.25297619047619047,-0.7099802371541502,0.18073420556341338,0.27143793117482273,,510,,,6.0,1992.0,,,,,,0.3422037059107965
zukunft_erhalten_n_b,Future answer received,alle,eine_je_familie_datum(identisch),True,rankbiserial_clusterboot,-0.25297619047619047,-0.5945082242120223,0.34820881098373696,0.27143793117482273,,510,,,6.0,1965.0,,,,,,0.3422037059107965
exp_runde_max_vor,Highest round visible on arrival,alle,eine_je_familie_datum(identisch),False,OLS_std_FE_HC1,0.06585316354977519,-0.009948550759110789,0.14165487785866115,0.08861866766661444,0.038675054698351724,510,21.0,35.0,,,,,,,,0.34073120020425995
exp_runde_max_vor,Highest round visible on arrival,alle,eine_je_familie_datum(identisch),False,OLS_std_FE_cluster,0.06585316354977519,-0.018944442087919663,0.15065076918747006,0.1279858185124227,0.043264879511341815,510,21.0,35.0,,,,,,,,0.2815688007273299
exp_runde_max_vor,Highest round visible on arrival,alle,eine_je_familie_datum(identisch),False,spearman,0.37208067784307186,0.2947765040536748,0.4445462665177718,3.4278196364814747e-18,,510,,,,,,,,,,1.7139098182407373e-17
exp_vorsprung_b,Answer ahead visible on arrival,alle,eine_je_familie_datum(identisch),True,OLS_std_FE_HC1,-0.12373499246408418,-0.2770013889665106,0.029531404038342285,0.1135770667347533,0.07819857798988769,510,21.0,28.0,,,,,,,,0.34073120020425995
exp_vorsprung_b,Answer ahead visible on arrival,alle,eine_je_familie_datum(identisch),True,OLS_std_FE_cluster,-0.12373499246408418,-0.24307225227541301,-0.004397732652755337,0.04213430374001465,0.06088747586825367,510,21.0,28.0,,,,,,,,0.1636160730150636
exp_vorsprung_b,Answer ahead visible on arrival,alle,eine_je_familie_datum(identisch),True,rankbiserial_boot,0.0807440218368447,-0.016111353163876636,0.17322406252021677,0.11396693939809979,,510,,,317.0,2000.0,,,,,,0.2659228585955662
exp_vorsprung_b,Answer ahead visible on arrival,alle,eine_je_familie_datum(identisch),True,rankbiserial_clusterboot,0.0807440218368447,-0.10841147928237009,0.24004013113918074,0.11396693939809979,,510,,,317.0,2000.0,,,,,,0.2659228585955662
